,Slow,Intermediate,Rapid,Average
0.02,1.0,0.9999976074222567,0.9989662201201382,0.9997321586654382
0.1200000000000001,0.9999733088118804,0.999854103525543,0.997142669799807,0.9991844890804196
0.1600000000000001,0.9999658838980949,0.9994730284831278,0.9944325054681407,0.9982960367535008
0.1899999999999999,0.9999658838980949,0.9993940557051736,0.9922237833033581,0.9976874371868586
0.2200000000000002,0.9999487352042299,0.9990758552795216,0.9896689841584781,0.9968675678690528
0.25,0.9999381171760999,0.9987379055873397,0.9882745991788915,0.9963389430505495
0.29,0.9999381171760999,0.9987166257923247,0.9860329880409165,0.9957502475575178
0.3199999999999998,0.9999329931862535,0.9985498999489026,0.985223494946844,0.9954581200244935
0.3500000000000001,0.9999312264018012,0.9984083511582412,0.9830352258383478,0.9948235641445656
0.3900000000000001,0.9999312264018012,0.9983436085271336,0.9820001403993289,0.9945247067296182
0.4199999999999999,0.9999307552592805,0.9981822440973734,0.9810004465400997,0.994187318100993
0.4500000000000002,0.9994707792329961,0.9977663900057925,0.980910492342279,0.9938444995760737
0.48,0.9994640648049037,0.9975911395346764,0.9788825407452741,0.9932334778782947
0.52,0.9993332303579029,0.9969476533436253,0.977150011911629,0.9924372354963661
0.5499999999999998,0.9993332303579029,0.9969371081300192,0.9760219507935772,0.992141062766287
0.6200000000000001,0.9993332303579029,0.9969350644071581,0.9749391891366517,0.9918607582102296
0.6499999999999999,0.9993332303579029,0.9969243501576206,0.9737329458927492,0.9915443351853077
0.7200000000000002,0.9993083820624126,0.9965916838221798,0.973204468949353,0.9912381139097448
0.7799999999999998,0.9991554595871996,0.9961908653400969,0.9729489995607525,0.9909367623050847
0.81,0.9991554595871996,0.996153762919158,0.9719182320082389,0.9906526190420136
0.91,0.9991554595871996,0.996086337976398,0.9683849414430175,0.9897080284605985
0.9500000000000002,0.9991554595871996,0.9960660796364499,0.9672860452920804,0.9894145995105771
0.98,0.9991554595871996,0.9959040132852168,0.9639638104151854,0.9884778826009563
1.0099999999999998,0.9991554595871996,0.995895353822432,0.9616093540498157,0.9878662884494911
1.04,0.9991554595871996,0.9958856750685303,0.9603198232659179,0.9875288908745604
1.08,0.9991533673424535,0.9957399837258626,0.9581797622657193,0.9869046505961271
1.1100000000000003,0.9991519491877092,0.9954814686115228,0.9564204694276238,0.9863232833123758
1.1399999999999997,0.999137659802933,0.9951538290950909,0.9546897520504758,0.9857120566510078
1.1799999999999995,0.9991369236427443,0.9949986315331061,0.9511489991702929,0.984722168650679
1.21,0.9991369236427443,0.9949964784188051,0.9499848850210955,0.9844208253501211
1.2400000000000002,0.999121381256508,0.9945486793588423,0.9483868111491173,0.9837843764611429
1.2699999999999996,0.9991066107458599,0.9943124873753229,0.9463436666532314,0.9831374354875284
1.3099999999999996,0.9990997153435889,0.994112383137771,0.945358527494347,0.9827831332847429
1.34,0.9990305101209799,0.9934356039006255,0.9415498369598421,0.9814503693720542
1.37,0.9990254797315065,0.992780367718685,0.9364764160097844,0.9798180115355027
1.41,0.9990085942780421,0.9924144047356656,0.9359272974353887,0.9794920728529978
1.4400000000000004,0.9990045970281498,0.9923368478644696,0.9346820038856221,0.9791316875919491
1.5,0.9990045970281498,0.9921905703638687,0.9325374560792594,0.9785065245819715
1.54,0.99900161389536,0.99189813145388,0.9294287520565532,0.9775599925377364
1.5700000000000005,0.998999293322855,0.9917338255764451,0.9271348412565119,0.9768868502679819
1.5999999999999996,0.9989715763075055,0.9915228762001059,0.9227522921086834,0.9756456426097377
1.6399999999999997,0.9989671533052334,0.9913640514314723,0.920439578981575,0.9749698216389892
1.67,0.9989477025711483,0.9908010526052532,0.9161278498539669,0.9735757228676021
1.7300000000000004,0.9987999931509247,0.9904975631169867,0.914101109320423,0.9728666648758324
1.7999999999999998,0.9987999931509247,0.9904880971442094,0.9128811219937173,0.9725473107713845
1.83,0.9986097640256247,0.9898831565472597,0.907728019073349,0.9708728471603355
1.87,0.9986097640256247,0.9898694262343845,0.906431342167456,0.9705316126720027
1.9000000000000004,0.9981668489477273,0.9889149460350407,0.9026472405826479,0.9689751214168364
1.93,0.9981464668087812,0.9886794689757494,0.9018200882702987,0.9686407951424962
2.03,0.9981458408948045,0.9885972727116142,0.9003565447265586,0.968222672202963
2.06,0.9981406164992138,0.9880333933265496,0.8974211286037206,0.96718671740676
2.16,0.9981406164992138,0.9878806868543538,0.896313565272103,0.9668258817196174
2.1900000000000004,0.9980871103287605,0.9876881281778219,0.8953095785689756,0.9664587778800602
2.26,0.9980131372639476,0.9871624940433579,0.893550310800993,0.9657278425633747
2.33,0.9972900665402612,0.9860890089885395,0.8934109771400134,0.9649829259385104
2.3600000000000003,0.9972682985702745,0.9855239905878358,0.8903131734004563,0.9639003868248613
2.52,0.9972682985702745,0.9854770254967542,0.8875526303256598,0.9631651941273589
2.62,0.9972671369387627,0.9853127790004594,0.8865365331858853,0.9628219835222618
2.6500000000000004,0.996476665111306,0.9849678499710586,0.8864947460499927,0.9624438644054527
2.6900000000000004,0.996475192790929,0.9847733354201844,0.8855711071167514,0.9621095323913104
2.72,0.996475192790929,0.9847407064276539,0.8841678641795803,0.9617315100534196
2.75,0.9964676940228394,0.9842197015792932,0.8807758969651133,0.9605983154610782
2.79,0.9964196472517461,0.9834162050148151,0.8778762984280796,0.9594429907301166
2.8200000000000003,0.9964150789661553,0.9833359956611446,0.8765251981871517,0.9590538646654808
2.88,0.9964136453910514,0.9832178800096483,0.8737376942278229,0.9582763494042068
2.92,0.9964100362224039,0.983011494805535,0.8727374782245442,0.9579158891335571
