,Slow,Intermediate,Rapid,Average
0.02,0.9999941163550633,0.9999829772404895,0.9999046514805574,0.9999661805791493
0.06,0.9999703320521682,0.9999141659784267,0.9995193713624168,0.9998295088428597
0.0899999999999998,0.9999460976474619,0.9998440562754611,0.9991270651999369,0.9996903188495805
0.1200000000000001,0.9999176628833368,0.9997617998531394,0.9986671044776122,0.9995270917668071
0.1600000000000001,0.9998742291472352,0.9996361643268832,0.9979652296473114,0.9992779468620822
0.1899999999999999,0.9998380120312833,0.999531412779802,0.9973806273624681,0.9990703662383387
0.2200000000000002,0.9997989807774799,0.9994185313426326,0.9967512653688703,0.9988468272079069
0.25,0.9997573463226506,0.9992981321089077,0.9960806869153515,0.9986085743639528
0.29,0.9996980752739324,0.9991267504147123,0.9951273963212943,0.9982697431061601
0.3199999999999998,0.9996509823438745,0.9989905978398379,0.994371100459806,0.9980008196208429
0.3500000000000001,0.9996017557843392,0.998848291963076,0.9935816035003825,0.9977199858027187
0.3900000000000001,0.999532970925123,0.9986494725124608,0.9924802472988625,0.9973280408122261
0.4199999999999999,0.9994791306790426,0.9984938711216869,0.9916196525522964,0.9970216313686769
0.4500000000000002,0.9994234437323718,0.998332952379893,0.9907308978447652,0.9967050615842296
0.48,0.9993659765916936,0.9981669104274923,0.989815175746301,0.9963787432982452
0.52,0.9992866875797974,0.997937852778643,0.988554129623955,0.9959291306902599
0.5499999999999998,0.9992252909626509,0.997760512300807,0.9875795586197638,0.9955814685460056
0.5800000000000001,0.999162294500985,0.9975785760914052,0.9865813172552793,0.995225190984768
0.6200000000000001,0.9990758872668264,0.9973290703826504,0.9852149408435209,0.9947372422189117
0.6499999999999999,0.9990093257336069,0.9971369031382766,0.9841646149147021,0.994361936731217
0.6800000000000002,0.9989413007780851,0.9969405404788789,0.9830931913807596,0.9939788932791478
0.7200000000000002,0.9988483843376396,0.9966723736937183,0.9816329628684454,0.9934565236483804
0.75,0.9987770764588103,0.9964666093482016,0.9805148574897599,0.9930562881612452
0.7799999999999998,0.9987044130040108,0.9962569671655219,0.9793777520307785,0.9926490248414586
0.81,0.9986304221706621,0.9960435303822771,0.978222206049369,0.9922349222461453
0.8500000000000001,0.9985297486837367,0.9957531805629971,0.9766537098497047,0.9916724549148633
0.8799999999999999,0.9984527616019719,0.9955311882445963,0.9754571652098284,0.9912430758252525
0.91,0.9983745303983761,0.9953056476882474,0.97424386353573,0.9908074223276466
0.9500000000000002,0.9982683251100714,0.9949995210534992,0.9726008510576473,0.9902170545686804
0.98,0.998187275594049,0.994765952502895,0.9713502004039154,0.9897673452509412
1.0099999999999998,0.9981050520392688,0.99452904391218,0.9700842508861763,0.9893118476874497
1.04,0.9980216734028828,0.9942888517488245,0.9688034041533471,0.9888506952634719
1.08,0.9979087363139987,0.99396358087004,0.9670731022529272,0.9882272500767489
1.1100000000000003,0.9978227316605058,0.9937159334483894,0.9657589776873081,0.987753394061151
1.1399999999999997,0.9977356294474936,0.9934651742491198,0.964431195281113,0.9872742933067131
1.1799999999999995,0.9976178129985906,0.9931260694271297,0.9626401684059946,0.9866275300647123
1.21,0.9975282100504882,0.9928682299180477,0.9612818416557463,0.9861366278855808
1.2400000000000002,0.9974375597662849,0.9926074292653891,0.9599109665518047,0.9856408462122176
1.2699999999999996,0.997345876015081,0.9923437091851505,0.9585278542793118,0.9851402871661745
1.3099999999999996,0.9972220464485777,0.991987610510107,0.9566651899830335,0.9844656143629562
1.34,0.9971280024901814,0.9917172327714966,0.9552546846180557,0.9839542881628065
1.37,0.997032967887504,0.9914440647725165,0.9538329167106442,0.9834385035357959
1.41,0.9969047346389499,0.9910755625645964,0.9519201813463157,0.9827440102786186
1.4400000000000004,0.99680743425166,0.9907960223453585,0.9504731921253896,0.9822181677669419
1.4699999999999998,0.9967091815162292,0.9905138078959109,0.9490158302907366,0.9816881568996982
1.5,0.9966099871563957,0.990228951803952,0.9475483482308186,0.9811540597487789
1.54,0.9964762811963525,0.9898450890432632,0.9455763875449475,0.9804357117069549
1.5700000000000005,0.9963749296419318,0.9895541906950798,0.9440862387469671,0.9798923874447627
1.5999999999999996,0.9962726699769566,0.9892607528471137,0.9425867676178942,0.9793452358222698
1.6399999999999997,0.996134927421466,0.9888656018266901,0.9405733634631398,0.9786098736344955
1.67,0.9960305851019932,0.9885663494246112,0.9390530151780986,0.9780540747823261
1.7000000000000002,0.9959253651553732,0.9882646508593832,0.9375240823446066,0.9774946873046902
1.7300000000000004,0.9958192762036391,0.9879605326115072,0.9359867757019602,0.9769317792821552
1.7699999999999996,0.9956764869691621,0.987551322224234,0.933924363280233,0.9761758736744677
1.7999999999999998,0.9955684026371385,0.9872416574471006,0.9323683118897323,0.9756050073552676
1.83,0.9954594764862476,0.9869296567357586,0.9308045569957519,0.9750308367383786
1.87,0.9953129454462123,0.9865100632883457,0.9287078985650961,0.9742602426470014
1.9000000000000004,0.9952020847719475,0.9861927039599113,0.9271269087940075,0.9736786003714427
1.93,0.9950904073208587,0.9858730862052119,0.9255388404875424,0.9730938550547044
1.96,0.994977920229718,0.9855512321821346,0.9239438730099411,0.9725060644009805
2.0,0.9948266900350199,0.9851186522639039,0.9218068210471386,0.9717177039024892
2.03,0.9947123406422737,0.9847916638413701,0.9201964333055965,0.9711230254076523
2.06,0.9945972042664686,0.9844625097107499,0.9185797192423842,0.9705254857325877
2.1,0.9944424760826117,0.9840203035873422,0.9164145438125219,0.9697244067674523
