,Slow,Intermediate,Rapid,Average
15.61,0.8802418777828165,0.7149336341011271,0.2728098049547658,0.6446202511646679
15.64,0.8802418777828165,0.7149336341011271,0.2728098049547658,0.6446202511646679
15.670000000000002,0.8786617672052126,0.7116219224387211,0.26872830621175287,0.6415555640953012
15.81,0.8786617672052126,0.7116219224387211,0.26872830621175287,0.6415555640953012
15.84,0.877058298113389,0.708272504855607,0.2646527562050057,0.6384679617926617
15.87,0.877058298113389,0.708272504855607,0.2646527562050057,0.6384679617926617
15.97,0.877058298113389,0.708272504855607,0.2646527562050057,0.6384679617926617
16.0,0.877058298113389,0.708272504855607,0.2646527562050057,0.6384679617926617
16.04,0.877058298113389,0.708272504855607,0.2646527562050057,0.6384679617926617
16.07,0.877058298113389,0.708272504855607,0.2646527562050057,0.6384679617926617
16.13,0.877058298113389,0.708272504855607,0.2646527562050057,0.6384679617926617
16.17,0.877058298113389,0.708272504855607,0.2646527562050057,0.6384679617926617
16.23,0.8737166091508486,0.7013284956789567,0.2563680419141281,0.6321042548369353
16.33,0.8737166091508486,0.7013284956789567,0.2563680419141281,0.6321042548369353
16.36,0.8737166091508486,0.7013284956789567,0.2563680419141281,0.6321042548369353
16.46,0.8737166091508486,0.7013284956789567,0.2563680419141281,0.6321042548369353
16.5,0.8737166091508486,0.7013284956789567,0.2563680419141281,0.6321042548369353
16.53,0.871944453146504,0.697665806969057,0.25208596278128775,0.6287675673653413
16.56,0.871944453146504,0.697665806969057,0.25208596278128775,0.6287675673653413
16.66,0.871944453146504,0.697665806969057,0.25208596278128775,0.6287675673653413
16.76,0.871944453146504,0.697665806969057,0.25208596278128775,0.6287675673653413
16.82,0.871944453146504,0.697665806969057,0.25208596278128775,0.6287675673653413
16.86,0.8700005786767511,0.6936639691250135,0.24747528585150902,0.6251372620192636
16.99,0.8700005786767511,0.6936639691250135,0.24747528585150902,0.6251372620192636
17.02,0.8700005786767511,0.6936639691250135,0.24747528585150902,0.6251372620192636
17.05,0.8700005786767511,0.6936639691250135,0.24747528585150902,0.6251372620192636
17.09,0.8700005786767511,0.6936639691250135,0.24747528585150902,0.6251372620192636
17.12,0.8680177621737781,0.6895988980945115,0.24286319023152864,0.6214656841909209
17.15,0.8680177621737781,0.6895988980945115,0.24286319023152864,0.6214656841909209
17.19,0.8660246172085541,0.6855298390310129,0.23831748676682873,0.6178064225197556
17.48,0.8640309756102021,0.681476952128687,0.2338592275341931,0.6141772214547181
17.52,0.8620339411356475,0.6774343478705016,0.22948014248485238,0.6105723510768684
17.68,0.8620339411356475,0.6774343478705016,0.22948014248485238,0.6105723510768684
17.75,0.857979411773342,0.6692794275022254,0.22084834428420758,0.6033452105846808
17.84,0.857979411773342,0.6692794275022254,0.22084834428420758,0.6033452105846808
17.98,0.8558114361112287,0.6649477964143793,0.21637084369396178,0.5995300811003043
18.07,0.8536238058560518,0.660597180783904,0.21194713316323174,0.595714332137205
18.11,0.8514079744831229,0.6562111841488637,0.20756069092622617,0.5918835440319288
18.24,0.8514079744831229,0.6562111841488637,0.20756069092622617,0.5918835440319288
